YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,25,23,5.3,83.62,9.8
2016,1,26,0,4.99,83.69,9.81
2016,1,26,1,4.24,85.06,9.6
2016,1,26,2,3.73,84.88,9.49
2016,1,26,3,3.33,84.38,9.19
2016,1,26,4,2.86,78.94,9.48
2016,1,26,5,2.34,72.19,10.06
2016,1,26,6,1.91,68.5,10.58
2016,1,26,7,1.53,68.56,11.51
2016,1,26,8,1.56,61.19,13.99
2016,1,26,9,1.57,54.06,15.43
2016,1,26,10,1.6,49.19,16.49
2016,1,26,11,1.64,45.81,17.27
2016,1,26,12,1.66,44.56,17.74
2016,1,26,13,1.43,43.38,17.89
2016,1,26,14,1.12,42.38,17.8
2016,1,26,15,0.88,45.75,17.21
2016,1,26,16,0.6,58.5,15.62
2016,1,26,17,0.82,63.88,13.83
2016,1,26,18,1.47,66.81,12.93
2016,1,26,19,1.78,69.31,12.61
2016,1,26,20,1.62,68.62,12.95
2016,1,26,21,1.41,64.94,13.16
2016,1,26,22,1.34,60.56,13.29
2016,1,26,23,1.21,58.62,13.18
2016,1,27,0,1.08,56.06,13.19
2016,1,27,1,1.14,55.44,13.08
2016,1,27,2,1.27,56.12,12.97
2016,1,27,3,1.27,56.69,12.91
2016,1,27,4,1.13,55.44,13.14
2016,1,27,5,0.97,54.31,13.3
2016,1,27,6,0.84,52.69,13.47
2016,1,27,7,0.77,54.62,13.55
2016,1,27,8,0.73,60.0,13.99
2016,1,27,9,0.65,62.62,15.03
2016,1,27,10,0.71,50.19,16.15
2016,1,27,11,0.5,43.06,17.33
2016,1,27,12,0.23,40.5,17.85
2016,1,27,13,0.29,40.38,17.93
2016,1,27,14,0.57,42.19,17.84
2016,1,27,15,1.07,48.31,17.28
2016,1,27,16,1.76,63.19,15.39
2016,1,27,17,2.18,70.5,13.49
2016,1,27,18,2.28,74.0,12.73
2016,1,27,19,2.14,73.69,12.43
2016,1,27,20,1.95,71.5,12.48
2016,1,27,21,1.85,69.88,12.49
2016,1,27,22,1.76,69.0,12.41
2016,1,27,23,1.68,68.31,12.39
2016,1,28,0,1.72,69.94,12.0
