YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,26,8,0.57,95.5,7.89
2016,1,26,9,0.75,86.62,9.94
2016,1,26,10,1.53,72.31,12.83
2016,1,26,11,1.71,67.81,14.17
2016,1,26,12,1.78,66.5,14.83
2016,1,26,13,1.85,66.56,14.99
2016,1,26,14,1.85,67.69,14.85
2016,1,26,15,1.6,71.56,14.33
2016,1,26,16,0.77,86.69,12.17
2016,1,26,17,1.02,88.75,9.76
2016,1,26,18,0.99,91.31,9.22
2016,1,26,19,0.94,92.31,8.92
2016,1,26,20,0.93,93.75,8.54
2016,1,26,21,0.91,96.81,7.87
2016,1,26,22,0.9,99.25,7.3
2016,1,26,23,0.88,99.69,7.01
2016,1,27,0,0.85,99.81,6.76
2016,1,27,1,0.93,100.0,6.01
2016,1,27,2,0.85,100.0,6.17
2016,1,27,3,0.79,100.0,6.31
2016,1,27,4,0.75,99.88,6.31
2016,1,27,5,0.75,100.0,5.94
2016,1,27,6,0.84,100.0,5.68
2016,1,27,7,0.95,100.0,5.65
2016,1,27,8,1.68,92.44,8.35
2016,1,27,9,1.35,89.5,9.66
2016,1,27,10,1.18,81.69,11.8
2016,1,27,11,1.03,72.44,14.23
2016,1,27,12,0.64,67.62,15.59
2016,1,27,13,0.25,64.06,16.41
2016,1,27,14,0.4,61.62,16.77
2016,1,27,15,0.63,64.25,16.5
2016,1,27,16,0.46,70.88,15.12
2016,1,27,17,0.52,68.12,13.61
2016,1,27,18,0.62,74.94,12.21
2016,1,27,19,0.63,81.88,10.96
2016,1,27,20,0.69,86.19,10.12
2016,1,27,21,0.77,89.25,9.51
2016,1,27,22,0.7,90.94,9.11
2016,1,27,23,0.68,92.56,8.77
